,,random,maxVar,UCB_dGPIS2
flat,text,0.00826887600685,0.00782624970758,0.0140371275623
S,text,0.0287583648712,0.00263710607092,0.00240658443893
,spec,0.00654169812121,0.0286947185446,0.0286573620101
